. سميج . ربرث						      |	* سممح . رسصارت
أدبت هرفطلا نانظيو . تانيجلا رغصل هتيؤر نكمي ال تانيجلا ةعيبط |	أدت هرفطلا نا نظيو . تانيطا رّكصا هتيؤر نكسمي ال تانيملا ةءيط 
: ةيسايسلاو ةيعامتجالا فورظلا ببسب ةعئاضلا ةيرشبلا دراوملا :ً  |	: ةمسامسلاو ةيعاتحالا فورظلا بيس ةعئاضلا ةيرشلا دراوملا : ًاعب
. قارعلا كلم ينانلا لصيف كلملا				      |	٠. فقارعلا كلم ىنالأ لصيف كلملا
. يرئازجلا يعويشلا بزحلا لحب الليب نب دمحا يرئازجلا سيئرلا رم |	. يرئازجلا يعويشلا بزكلا لحب اللس نب دمحا يرئازجلا سيئرلا رمأ
. تاليهستلاو ينابملا متت املاح				      |	. تاليبستلاو يفابملا متت املاح
. ةيعقاو فادهألا نوكت نأ يغبني -			      |	.ةيعقاو فادهألا نوكت نأ يغبني -
روحالا لازغلاك ينانج يروح رمسالا بيضقلاك ىنثت رمسأ	      |	روحالا لازغلاك ىنانج ىروح  ٌرمسالا بيضقلاك ىنثت رمسأ
رايتخالا قح اهبجومب حنم يتلا ىرخالا تاطلسلا عـيمجل هتسرامم دن |	رايتخالا قح اهبحومم حنم يلا ىرخالا تاطلسلا عيمب هتسرام دنع هر
نا ينانبللا يعانصلا دادعتلا نع ريراقتلا أرقي نمل رهظيو . ةيعا |	كرأ ىفاتيللا ىعانصلا دادعتلا نع. ريراقتلا أرقب نأ ربظبو . ةيع
يسآم نم ةيناث ةاسأم ىلع راتسلا لدسا ةنسلا كلت يف - انخيرات يف |	ىمام نم ةيناث ةاسأم ىلع راتسلا لدسا ةئسلا كلت ىف - انكراتىف ة
هل عضخي ًاـتباثً امانظ ملاعلا يف ناب يعيبطلا نوناقلاب نونمؤملا  |	( عض#ل ]تباث ًاماظن ملاعلا يف ناب يعببطلا نوناقلاب نوئمؤملا لا
ثاحبألا							      |	تاحلا
تاداقتنا دض هدعاسو هججحو يبلكلا نبا ءارآ نم ربكالا مسقلا تبثأ |	تاداقتنا دض هدعاسو هججحو ىلكلا نبا ءارا نم ربكالا مسقلا تبثأ 
توريب يف ةيكريمألا ةعماجلا اـهردصت ةلجم			      |	توّربإ لكدمألا فماجبا ايحررضنرب
. مامالأ ىلا ةيندملا عفدي نأو ةننوكلاو نوكلا قيرط	      |	. مامالا ىلا ةيندملا عفدي نأو ةننوكللاو نوككلا قيرط
. اذه ضيقن ىلع رمالا لب فلحلا وا			      |	. اذه ضمقن ىلع رمالا لب فللا وا
. بيجن دمحم ماعلا دئاقلاو يكريمالا ريفسلاو اشاب رهام يلع سيئر |	. بيجن دمس ماعلا دئاقلاو جريمالا ريفسلاو اًساب رهام ىلع سيئرلا
ىأر نم لواو . رطفلا روذبو ةريمخلا ايالخ اوأرو ةملاسملاو ةراضل |	ىأر نم لوأو . رطفلا روذبو ةريجلا ابالخ اوأرو ةملاسملاو ةراضلا
: ةيلاتلا ماكحالا نم ودبي امك ةيمكلا ثيح نم فيلستلا ديدحت :ً ا |	: ةيلاثلا ماكحالا نم ودبي )م ةيمكلا ثيح نم فيلستلا ديدحت : آل
. نيعم يـنس ميعزو ةيروهمجلا سيئر نيب أشنت يتلا ةديطولا تاقالع |	. نّبعم يّنس معزو ةيروهما سيئر نيب أشنت يتلا ةديطولا تاقالعلا د
ةسايسلل مت اذا هناف اذهلو . ةراسخب انايحا اهعيبو جراخلا ىلا م |	ةسايسل[ مث اذا هناف اذهو .ةراسخانامحا اهعيبو جراخلا ىلا مهعئا
عمتجملا لجا نم لمعلا ىلع ءاضعالا بردتف اهلامعا ذيفنت يف ةيبزح |	عيضلا لجا نم لمعلا ىلع ءاضعالا بردتف اهلاءءا ديفنت يف ةيبرالا
يبرـعلايملـعلا ركـفلا روطت				      |	يرسلايلاايلار وطت
. دالبلا						      |	, هالأا
. نامع يف يناطيربلا لخدتلا دض ةدحتملا ممالا ىلا ًاجاجتحا ةيقير |	. نا.ء يف يناطي ريلا لخدتلا دض ةدحاملا مهالا ىلا ًاحاحتحا ةيقي
ءابنالا تالاكو تماقو . ةلوهسب هعفدت نا ةديرجلا عسوب ًالوقعم ًاك |	ءابنالا تالكو تماقو .ةلوهسسب هعفدت نا ةديرجلا عسوب ًالوقعم أك 
. ةيرشبلا اهاوقل طيطختلا ىلع ةسسؤملا			      |	. ةيرشسبلا اهاوقل طيطختلا ىلع ةسسؤملا
. لخدلا ىوتسم طوبه متحتيف فيظوتلاو			      |	. لخدلا .ىوتسم طوبه ممحتبف فيظوتلاو
نويع ناهرلا موي اهب تقلع اـهنا ال اـهقبس ةعاسب تفرع	      |	اكوبع تاهرلا::موي اب تقلع ابيهنا ال اهقبس ةعاسن ِتفرع
تضق ثيحب ينامورلا مالسلا بابشلا دهع يف ةيريشبتلا برحلا تطشن د |	تضق ثدحيلام ورلا مالسلا باشلا دهعيف ةيريشدتلا ب رخا تطشن دقف.
لب ًاـعبارم سيل هناف لوصحملا نم هتصخ ذـخأي ناك ناو عرازملا نا  |	لب ًاعبارم سل هناف لوصحملا نم هتصخ ذخأي ناك ناو عرازملا نا ا .
. عمتجملا ةحلصم عم وا نيرخآلا قوقح عم ضراعتت ال تماد ام اهدكؤ |	. عمتجملا ةحلصم عم وأ نيرخآلا قوقح عم ضراعتت ال تماد ام اهدئو
يفو ريصملا ريرقت يف نيينادوسلا قحبً اديوط ًاناميا ةيرصملا ةموكح |	ىفوريصملا ريرقت ىف ثيينادوسلا قحي ًاديطو ًاناعا ةيرصملا ةموكملا
هبولساو . حالصالا لجا نم ةقداص ةينطو ةبغرب هتجلاعم يف عوفدم ف |	ةيولساو . حالصالا لجأ نم ةقداص ةينطو ةيغرب هتحلاعم يف عوفدم ف
لاملا مئارج وا لجرلا نيا				      |	لاخلا تارج وأ لجرلا نا
نانبل - توريب						      |	نانتل - توزريتب 
نم لئاسلا ركسلل لمعمو ةيعارز تاعانصو ديدحلل رخآو قرولا لمعمو  |	عم لئاسلا ركسسلل لمعمو ةععارز تاعانضو ديدحال رخنآو قرولا لمعف
لمحتتل ةيعيرشتلا سلاجملا هذه ةيوقت مويلا ةيطارقميدلا تابجاو م |	لئختتل ةيعيرشتلا سلاجملا هذه ةنوقت مويلا ةيطارقيدلا تابجاو مه
ةدحتملا ممالا اهب تصوا يتلا فيراعتلا عم قفتت لوالا ريرقتلل ةم |	ةدحتملا مهالا ا,تصوأ ىبلا فيراعتلا عم قفتت لوالا ريرقتلل ةمدق
تاريخلا هذه ىلع اولصحيل مهعسو يف اـم لك اولمعي نا مهبولق يف ا |	تاريكبا هذه ىلع اواصخبل ميعسو يف ام لك اواءعي نا مهبواق يف او
وا ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هل اـملاط كلذ س |	وأ ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هلا_ ح لاط كلذ 
ررحم يتيام نم برقي ام ةيكريمالا دئارجلا ضعب ريرحت مسق يف تدها |	ررحم ىتبام نم برقي ام ةيك ريمالا دئارطا ضعب ريرحت مسق ىف تدها
. تانب ثالثو						      |	. تانش ثاللثو
ةربخلا لها مامتها ريثي نأب ريدج نابانكلا اهاوتحا يتلا ةداملا  |	ةريكلا لها ماتها ريث تأب ردح تاباتكلا اهاوتحا ْقلا ةدالا نم-رب
ةيميظنتلا ةطلسلا					      |	ةمظتتلا ةطلسلا
اـمبر وا انب بهشلا تراغ					      |	امير ىا انب ببشلا .تراغ
ًاحاحلإ دشا ليماسرلا ىلا ةجاحلا تحبصا نيئجاللا ليس قفدتبو . اه |	احالإ دسا ليماسرلاىلا ةجاطلا تحصا نيثحاللا لهسؤةدتيو .اهناكتس
ريبكلا جاتنالا نمضتي ينفلا ءامنالا نا ريغ . ةدحتملا تايالولاو |	ريبكلا جاتنالا نمضتي ينفلا ءانالا نأ ريغ.ةدحتملا تالايولاو اب
لصح وا ةباتكلا ءانثا أطخلا نم ءيش ديلولا ةملك ىلع أرط - أ : ت |	لصح وا ةياتكلا ءانثا أطخلا نم ءىش دملولا ةملك ىلع أرط -أ : تا
ةغللا لخدت يتلا ةديدجلا يناعملا نا ظحالن ةيناث ةهج نمو	      |	ةغللا لخدت ىتلا ةديدجلا يناعملا نا ظحالن ةيناث ةبج نمو
. اـهيلع ءاقبالا نم نالا ىتح اشاب مازع			      |	. اهملع ءاقبالا نم نالا ىتح اساب مازع
عورشملا ةمدقم يف نيئجاللا ةـثاغا ةئيهل ماعلا ريدملا رفراك يلس |	عورشملا ةمدقم يف نيئِجاللا ةئاغأ ةئيهل ماعلا ريدملا رفراك ىلسل
. ةنيعم دودح اهل قطانم نع نيلوؤسم نييرادا		      |	.ةنمم دودح امل قطانم نع نياوؤسنيدرادا
ىلا طيحملا نم قيرط وه اهنم عاعش لكو . قرطلا ىلا زمرتف هعشالا  |	ىلا طيمملا نم قيرط وه ابنم عاعُش لكو .قرطلا ىلا زمرتف هعشالا ا
. ةغللا صخت تاحلطصمو - ىنعملا نم - ةيونعم تاحلطصم نيب	      |	. ةغللا صخت تاحلطصمو  ىنعملا نم  ةيونعم تاحلطصم نيب
تاعورشملاا هذه ذيفنت متي فيك . . وه لاجملا اذه يف هتراثا نم د |	تاعورسملا هذه ذيفنت متي فيك ..وه لاجملا اذهيف هتراثا نم دب ال
. يناليكلا ءايمل ةسنالل روصعلا مدقا ذنم طسوالا قرشلا	      |	. يناليكلا ءامل ةسنالل روصعلا مدقا ذنم طسوالا قرشلا
مجن فسوي دمحم						      |	مجت فسون دمح
ةعوطقم ةروصب مزاوللا هذه ردقت . تاعطقلل ةيداعلا تاصصخملا نع ة |	ةعوطقم ةروصب مزاوللا هذه ردقت . تاغطقلل ةيداعلا تاصصخما نع ةد
اـهيمسي ةيبرتلا نم ًاعون يسابعلا رصعلا يف كانه نا ىري اًلثم يتح |	اهيمس ةيبرتلا نم ًاعون ىسايعلا رصعلا يف كانه نا ىري الثم ّىح رو
ةعيبطلا رعش						      |	ةعماطلا رعش
. ةماركلاو قحلا عالق نم ةخسار ةعلق			      |	. ةماركلاو ىلا عالق نم ةخسار ةعلق
. ةرقنا يف ضوفملا ندرالا ريزوو ناتسكابلا		      |	. ةارقثا يف ضوفملا ثدراإلا رزوو تاتسك املإ
ىلا برقا دهعلا كلذ فرع يف وهف . اهعرزي يتلا ضرالا نم ًاءزج تقو |	ىلا برقا دبعلا كلذ فرع يف وبف . ابعرزب ىتلا ضرالا نم ًاءزج:تقو
. هيف مهكامسأ نوعيبي رخآ عضوم ىلا نورجهيو كامسألا	      |	. هيف مهك امسأ نوعيبي رخآ عضوم ىلا نورجبيو كامسألا
وكسوم يف ةدحتملا ةيبرعلا ةيروهمجلا ةرافس نع ردص نايب يف ملاس  |	وكسوهيف ةدحتملا ةيبرعلا ةيرويمحا ةرافس نع ردص تايبيف ملاس حال
يقالخالا رايتلا بايسنا وه يناثلا فرطلاو سلدنالا بدأ نع عافدلا |	يقالخالا رايثلا بايسنا وه يناثلا فرطلاو سادناألا بدأ نع عافدل
ال نيذلا ليجانالاو ةاروتلا ءاملع ددع نوكي نا ىشخاو . ةىيخيرات |	ال نيذلا لمحانالاو ةاروتلا ءامع ددع نوكي نا ىشخاو . ةمخراتلا 
راطخا ءردو نزخلاو فيرصتلاو يرلا عيراشم نع ًادج ةرصتخمب ةرظن هذ |	راطخا ءردو نزّآلاو فيرصتلاو يرلا عيراشم نع ًادج ةرصتخم ةرظن هذه
دوجو ىلع ةمزاج ةروصب لدت اـهيف ةيباينلاو ةيدلبلا تاباختنالا ر |	دوجو ىلع ةمزاج ةروصب لدق ا بمف ةيباسشلاو ةيدلبلا تاباختنالا ر
. مهلكاشملو ةيعامتجالا ةمدخلا لقح يف لامعلل اهسفن سركتو	      |	٠ مهاك اشملو ةيعاتجالا ةمدخلا لقح يف لاعلل اهسفن سركتو
امدنعو خلا . . بيبطو مكاحو يرادا فظوم اهلو ةرادا سلجمو يدلب س |	امدنعو خلا .. بيبطو 1 احو يرادا فظوم املو ةرادا سلجمو ىدلب سل
ليجلا يف ةركاب ةيلمع يه ةبورعلا ءاحنا عـيمج ىلع تادرفملا ةمئا |	ليجلايفةركاب ةيلمع يه ةيورعلا ءاحنأ ميمج ىلع تادرفملا ةّاق ممع
تدقعت عمتجم يف ةيعامتجا ةايح اوشيعي نال دارفالا دادعا اـهنم ض |	تدقعت عمتجم يف ةيعاّتجا ةايح اوثيعي نال دأرفالا دادعا اهنم ضرغ
. ةـيعامج تاقافتا قيرط نع رحلا ملاعلا راطقا نيب ةراجتلا عيسوت |	. ةيعاج تاقافتا قيرط نع رخلا ملاعلا راطقأ نيب ةراجتلا عيسوت ى
. نانبل يف ًايبسن بلغت ةيراجتلا ةفصلا نا ولو نايراجت نادلب اير |	. نانمل يف ًاسسن فبلغت ةءراحتلا ةفصلا نا ولو نارراُت نادلب ابرو
ةريثكلا مولعلا نم دادمتسا هلو لدجلا ملع نم ةطبنتسم هئدابمو .  |	ةريثكلا مولعلا نم دادمتسا هلو لدحلا ملع نم ةطبنتسم هئدابمو .ه
ةكرتشملا تاسلجلا					      |	ة* رثشملا تاساملا
. مهدماحم الملا يف ًارشانو				      |	. مهدما# الملا يف ًارشائو
لوالا هدع دقف . توقايو يدوعسملا مهزربا نم ءايوقا ءارصن يبلكلا |	لوالا.دع دقف .٠ توقايو يدوعبسملا مززبا ن.ه ءايوقا ءارسعن ىلكل
اولحف ةئيسلا لاحلا كلتب انودجوف انيلا موقلا لبقاف انتلمحي انح |	اولحف ةئيسلا لاحلا كلتب انودحوف انملا موقلالمقاف انتلمح انحصق
ريـنلا تحت تعقو يتلا نادلبلا هذه يف راج وه امب ربتعي ال نمو . |	رينلا تحت تعقو ينلا نادلبلا هذه يف ٍراج وه ام ربتعي ال نمو . د
اـهنكلو ! قيش لهس سرد نم هل اي ! ةينفلا هنازيمو يلهاجلا رعشلا |	ابنكلو ! ىتش لهس سرد نم هلاي ! ةينفلا هتازيمو ىلهالا رعشلا ضا
يف لب نيطسلف ىلا مهتدوع يف نوكي ال مهصالخو . ساـنلا ىلع هورشن |	يف لب نيطسلف ىلآ مهتدوع يف ثوعكي ال مهصالخو . ساالا ىلع هورشن
نطاوملا ىتح همعدي مل اذا ًاقالطا حالصإلا اذـه يرجي ال دقو . سا |	نطاوملا ّيح همدي مل اذا ًاقالطا حالصإلا اذه يرحي ال دقو . سانلا
. رمالا اذهب ةينعملا نادلبلا عميج ةراشتسا كلذ ولتي نا يغبني ه |	.رمالا اذبب ةينمملا نادلبلا ميج ةراشتسا كلذ ولتي نا يثبني هنأ
. اهتينازيم						      |	. اهتينازلم
ةليسو ريخو . ةكرتشملا ةيئاشنالاو ةيعينصتلا جماربلا ذيفنتو عضو |	ةلمسو ريخو . ةكرتشملا ةيئاشناللو ةيعينصتلا جماربلا ذيفنتو عضو
. انرظن ةهجو معدي ام ابوروا يفو ةيكريمالا		      |	. انرظن ةبحو معدي ام ابوروا ٍو ةيك ريمالا
ةمزاللا قوسلا نامضو ةيلحملا دراوملا ىلا تاعانصلا هذه دانتسا م |	ةمزاللا قوسلا ناضو ةيلحملا دراوملاىلا تاعانصلا هذه دانتسا موز
معدب ةيئاضقلا تائيهلا هذه تعتمت دقو . اهدهعتو دارفالل ةعورشمل |	معدب ةيئاضقلا تائمهلا هذه تعتم دقو . اهدبعتو دارفالل ةعورشملا
. ةرادالا فرصت تحت يتلا ةيجاتنالا			      |	. ةرادالا فرصت تحن ىنلا ةيحاتنالا
براجت هيلا تهتنا امبسح فيرلا ةمدخل نيئيهمو ادادعا نيدعم اصاخش |	براجت هيلا تيتنا امسح فيرلا ةمدخل نيئيبمو ادادعا ندعم اصاخشا
عئاقولا لسلستو ثدحلا ىلع دمتعت يتلا ةيمحلملا لامعألا يف هدهشن |	عئاقولا لسلستو ثدحلا ىلع دمتعت يىلا ةيمحلملا لامعألا ين هدهشن
ةلود يا ءازا يناودع لمع ياب مايقلا مزتعت ال ةيرتشملا ةلودلا ن |	ةلود يا ءازا يلاودع لمع ياب مايقلا مزتعت.ال ةيرتشملا ةلودلا ن
ةرواجملا ممالا نع مالكلا ىلا اهنزواجتي دقو ةيبرعلا دالبلا راب |	ةرواجما ممالا نع مالكلا ىلا اهنوزواجتي دقو ةيبرعلا دالبلا راب
ةرمغ يف اهفالتخا ىلع مهراثآ ترمطناف دمألا ليوط مظنم داهطضال ا |	ةرمغ يف اهفالتخا ىلع مهراثا ترمطناف دمألا ليوط مظنم داهطضال ا
نا وه ةـحنجالاو شارفلا نيب قرفلا نكل . ةرئاطلا ةحنجا عطقم هبا |	تمأ وه ةحجالاو شارفلا نيب قرفلا نكلل . ةرئللا ةمتجا مطقم هباش
خيراتلا مهفت ىلع امئاق ًافطع اهتيضقو ةأرملا ىلع ًافطع ءالتما دق |	نيراتلا مهفت ىلع .امثاق افطع !متيضقو ةأرملا ىلع أفطع ءالتما د
؛ ةلودلا ةدايس ةيرظن : ةيسيئر مئاعد ثالث ىلع يبرغلا ةلودلا ما |	؛ ةلودلا ةدايس ةيرظن : ةيسيئر متاعد ثالث ىلع يبرغلا ةلودلا ما
بيهصل هللا رفغ - ١					      |	بسصل هللا رفغ -١
نورشعلاو ةسماخلا ةداملا					      |	نورشعلاو ةسماخلا ةداملأ
نيتئام ىلاوح ةدوع ىلع تقفاو ليئارسا نا سدقلا يف ةندهلا ةبقارم |	نينثام ىلاوح ةدوعلع تقفاو لمئارسا نا سدقلا يف ةندحلا ةيقارم ة
ىلع وا - ةيملاعلا حمقلا ةراجت يف ًاماه ًازكرم ايروسل نا ةلهو لو |	ىلع وا - ةيملاعلا حيمقلا ةراحت يف أماه ًازكرم ايروسل نأ ةلهو ل
. ةينيلرتسا ةريل فلا نيثالث				      |	. ةينلريسأ ةريأ فلا نيثالث
ةيرامعتسالا رشع عساتلا نرقلا ةسايس قيبطت يف رارمتسالا يلا ةـي |	ةررامعتسالا رشع عساتلا نرقلا ةسايس قيبطت يف رارمتسالا يىلا ةب
أدب دق ناك هاجتالا اذه نا يف كش الو . ركفلاو لقعلا ةيمنتو كول |	ًادب دق نراك هاجتالا اذه نا يف كش الو . ركفلاو :لقعلا ةسسئتو ك
: ةريخالا تاونسلا					      |	: ةريشالا تاوئسلا
عومجم يف ًادج ةريبك ةيمها اهل نوكي دق هذهو نانبل يف لامع ةثالث |	عومج . يف ًادح ةريبك ةيمها ال نركي دق هذهو نانيل. ىف.لاع ةثالث
ناـطلسلا ةوق تأدب امدنع ةيبرعلا دالبلا يف ةيكلملا ماظن يف يلع |	ناطلسلا ةوق تأدب امدنع ةيبرعلا دالبلا يف ةبكلملا ماظن يف ىلعف
هيلا راشملا باتكلا يف امهتبثاو نأشلا اذه يف يارغ امهارجا رابت |	)نلا راشملا باتكلا ىف اهتيثاو نأشلا اذه يف يارغ اهارجا رامتخا
كلذكو . نيينعملا ضارقنا دعب نييباهشلا ىلا ةرامالاب دهع ةيناقم |	كلذك و .نيينعملا ٍضارقنا دعي نيساهشلاىلا ةرامالاب دبع ةناقمسلا
كلاذب نوكي هنأل ءيش هل نكي مل ناقح امهن : لاقوً اعيجم نادهاشلا |	كاذب نوكي هنآل ءيش هل نكي مل ناقح امهنا : لاقو ًاعيمج نادهاشلا
اـيندلا وطخت نا تعطتسا ناف نوقابلا قرغيسو نوضاملا اهيف قرغ دق |	ايندلا وطخت نأ تعطتسا ناف ثوقاملا قرغيسو نوضاملا اهمف قرغ دق 
. نيساسب صمقت دوقرم وه : سيدقلا اذه رما نم ينرماخي ام كل تلق  |	.نيساسب صمقت دوقرم وه: سيدقلااذه ىما نميفرما ام كل تلق اذا رف
. نيماقملا نيب سبحلا : ةفقولا				      |	. نيماقملا نيب سسحلا : ةفقولا
ةـقطنملا ريخ هيف امل ةدافتسالا دودح ىصقا ىلاو ةيئاملا دراوملا |	ةةطاملا ريخ هنف اامل ةدافتسالا دودح ىصقا ىلآو ةيئاملا دراوملا
ناـجللا لمعتو تاعامتجالا دقعتو تارضاحملا اهيف ىقلتو اليوط هذه |	ناجللا ليعتو تاءاتجالا دقعتو تارضاحملا اهيف ىقلتو اليوط هذه م
يتلا تالقنتلا ةرثك هيلا تدا يذلا صصختلا مدع نع ًاجتان تارازولا |	يتلا تالقنتلا ةرثك هيلا تدا يزلأ صصختلا مدع نع أمّتان تارازولا
. سانلا ريهامج لوانتم يف نوكي اًلقن ةفاقثلا لقنت يتلا ةديحولا  |	. سانلا ريهامج لوانتم يف نوكي اّلقن ةفاقثلا لقنت يثلا ةديحولا 
. نوعمش ليمك سيئرلا					      |	٠. نوعمش ليمك سيرلا
. ملاعلا قطانم						      |	. ملاعلا قطاذم
دعب ةنس ةدحتملا ممالا ةئيه ىنبتت نا ريكفتلاو ةشهدلا ىلا وعدت  |	دعب ةنس ةدحتملا ممالا ةّئيه ىنبتت نرا ريكفتلاو ةشهدلا ىلا وعدت
بتك اـهنيبو بتكلا نومجرتي هذيمالتو ةعافر ذخاو يواطهطلا ةعافر  |	بتك ابذيو بتكلا نومجرتي هذيمالتو ةعافر ذخأو يواطبطلا ةعافر دو
: يلي امب ةتقوملا ةيذيفنتلا ةطلسلا فلكتيس - ش		      |	: ىلي امب ةتقوملا ةيذمفنتلا ةطلسلا فلكتيس -- ش
وا مهسفنا ةـنجللا وفظوم اهب ماق يتلا ةروشنملا تاساردلاو ثوحبل |	وأ مهسفنا ةنحللا وفظوم اهب ماق ىتلا ةروشنملا تاساردلاو ثوحبلا
. ايروس يف ةذفانلا					      |	. ايروس ىف ةدفانلا
ةخسن اهنأ ىلع ةطوطخملا كلت نم هباتك يف اهجردأ يتلا جذامنلا لد |	ةخسن اهنأ ىلع ةطوطخملا كلت نم هباتك يف اهجردأ ىتلا جذامنلا لد
ساـنلل مجارت ىلع يوتحي رخآ مسق يرمعلا باتك نم يفارغجلا مسقلا  |	سانال مجارت ىلع يوتحي رخا مسق يرمعلا باتك نم يفا رغجلا مسقلا 
١١/١ ةنايسبجالا دمحا ما					      |	1١/١  ةلايسبجالا 03---- دمحا م
ًالدعا ًاقحمً افيرتص اهفرصي نا نيفظوملا ناويد عـيطتسي يتلا قوقحل |	الداع أقع ًافيرصت اهفرصي نا نيفظوملا ناويد عيطتسي يتلا قوقللا 
