. سميج . ربرث						      |	. سميج . ربرت
: يمالسإلا يـبرعلا ركفلا يف بسكلاو لمعلا نع نراقو . ٤٧ ص ،بسك |	: يمالسإلا يبرعلا ركفلا يف بسكلاو لمعلا نع نراقو . ٤٧ ص ،بسكل
ةماقاب حمس دق ةدحتملا ممالا ةمظنم يفً اوعض ةيدوعسلا ةيبرعلا ةك |	ةماقاب حمس دق ةدحتملا ممالا ةمظنم يفً اوض ةيدوعسلا ةيبرعلا ةكل
. مهتاموكحل مهلخد نم دیازتم مسق				      |	. مهتاموکحل مهلخد نم ديازتم مسق
ةيبرعلا لودلاو نانويلا يف تمقافت نا تثبل ام نيدرـشملا نيئجالل |	ةيبرعلا لودلاو نانويلا يف تمافت نا تشبل ام نيدرشملا نيئجاللا 
باتكلا راد						      |	كياتيحلااك
ريرقت قح تانامضو ةـيلاقتنالا ةرتفلا ءاـنثا ةماعلا تايحالصلا م |	ريرقت قح تانامضو ةيلاقتنالا ةرتفلا ءانثا ةماعلا تايحالصلا ميظ
يف مهتمالس ةيسنرفلا ةـموكحلا نمضت نا ىلع ،رئازجلا يف لاتقلا ف |	يف مهتمالتس ةينرفلا ةموكحلا نمضت نا ىلع ،رئازجلا يف لاتقلا فق
،رادقمب رومألا نأ تنقيتساو ،راتقإلا نم فاخت ام تنمأ لوقعلا نع |	،رادقمب رومألا نأ تنقيتساو ،راتقإلا نم فاخت ام تنمأ لوقعلا نع
. طسابلا دبع ،يفوصلا					      |	. طسابلا دبع ،ينوصلا
أدبت هرفطلا نانظيو . تانيجلا رغصل هتيؤر نكمي ال تانيجلا ةعيبط |	أدبت هرفطلا نا نظيو . تانيجلا رغصل هتيؤر نكمي ال تانيحلا ةعيب
الو . یلابحلا ءيق نمو رحبلا راود نم يفشي رخآ جالع ىلعو ،ةقهشل |	الو . ىلابحلا ءيق نمو رحبلا راود نم يفشي رخآ جالع ىلعو ،ةقهشل
: ةيسايسلاو ةيعامتجالا فورظلا ببسب ةعئاضلا ةيرشبلا دراوملا :ً  |	: ةيسايسلاو ةيعامتجالا فورظلا ببسب ةعئاضلا ةيرشبلا دراوملا : ً
مدع ةثورحملا يضارالا يف ناكسلا ةفاثك نع ةجتانلا ةلاحلا ةروطخ  |	مدع ةثورحملا يضارالا يف ناكسلا ةفاثك نع ةجتانلا ةلاحلا ةروطخ 
. قارعلا كلم ينانلا لصيف كلملا				      |	. قارعلا كلم ينانلا لصيف ؟كللملا
هـنا مهملعاو اريـخ مهدعوف مهربخ لكب هوربخاف ،مهدالب نیاو اوؤا |	هنا مهملعاو اريخ مهدعوف مهربخ لكب هوربخاف ،مهدالب نياو اوؤاج 
٥٥ . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  |	٥٥ . . . . . . . .. . . . ... ..... ... ...... عقاولاو لاثملا
هنع لالقاب لصاوت نم ةدج مدتسا . ٣٥٨ .			      |	. هنع لالقاب لصاوت نم ةدج مدتسا . ٣٥٨
درويو ١٩١٦ ةنس يف برعلل اهسفن ىلع ابيناطيرب اهتعطق يتلا تاماز |	درويو ١٩١٦ ةنس يف برعلل اهسفن يلع ايناطيرب اهتعطق قيتلا تاماز
. ١٩٥٨/٧/٣٠ خيراتب ةيرذلا ةقاطلا ةنجل ،٤٥٣/م مقرب ةركذملا : ع |	. ١٩٥٨/٧/٣٠ خيراتب ةيرذلا ةقاطلا ةنجل ،٤٥٣/م مقرب ةركذملا : ع
نم اجاوما نا كلذ للعيو ،علهلاو قرعلا ببصتو بلقلا ناقفخ هلئالد |	نماجاوما نا كلذ للعيو ،علهلاو قرعلا ببصتو بلقلا ناقفخ هلئالد 
دقلو هسفن عنصملا يف لـمعلا بحاص دي ىلع ذملتتلاب یمسي ام وا ًاد |	دقلو هسفن عنصملا يف لمعلا بحاص دي ىلع ذهلتتلاب ىمسي ام وا ًادي
. يبرعلا ملاعلا نمً ادحوا ًاءزج عوضوملا لمشي ناب یفتکال الاو ،ك |	. يبرعلا ملاعلا نم ًادحاوً اءج عوضوملا لمشي ناب ىفتكال الاو ،كل
،١١ ىلاعت هللا دارم ةفرعم ءازإب لاحلا رسو ،هب ملاعلا ةقيقح ءا |	،٢١ ىلاعت هللا دارم ةفرعم ءازإب لاحلا رسو ،هب ملاعلا ةقيقح ءا
. اذكهو اهيلت يتلاف ،ً اينازم ةقباسلا ،ً ايلعم ةنكمملا ،ًايئدبم  |	. اذكهو اهيلت يتلاف ،ًاينامز ةقباسلا ،ًايلمع ةنكمملا ،ًايئدبم مه
عم اـنتراجت ةراسخل نيدعتسم نوكن نا نم لاحلا كلت يف انل دب ال  |	عم انتراجت ةراسخل نيدعتسم نوکن نا نم لاحلا كلت يف انل دب ال ا
. اًلهاجتمو ًاتكاس هدجت ليئارسا ةعمس ىلا ءيسي رما دجو امثيحو ،ل |	. اًلهاجتمو ًاتکاس هدجت ليئارسا ةعمس ىلا ءيسي رما دجو امنيحو ،ل
١٩ ةفص - فوصوم هيلإ فاضم - فاضم رورجم ـ راج فم ـ اف - ف ١     |	١٩ ةفص - فوصومم هيلإ فاضم - فاضم رورحب راج فم - اف ف ١
هل عضخي ًاـتباثً امانظ ملاعلا يف ناب يعيبطلا نوناقلاب نونمؤملا  |	هل عضخي ًاتباثً اماظ ملاعلا يف ناب يعيبطلا نوناقلاب نونمؤملا لا
توريب يف ةيكريمألا ةعماجلا اـهردصت ةلجم			      |	توريب ف ةيكريمألا ةعماجلا اهردصتلجم
. مامالأ ىلا ةيندملا عفدي نأو ةننوكلاو نوكلا قيرط	      |	. مامالا ىلا ةيندملا عفدي نأو ةننوكلاو نوكلا قيرط
. بيجن دمحم ماعلا دئاقلاو يكريمالا ريفسلاو اشاب رهام يلع سيئر |	. بيجن دمحم ماعلا دئاقلاو يكريمالا ريفسلاو اشاب رهام ىلع سيئر
اهمضل ةعماجلا نع ندرالا لصف ةيبرعلا ةعماجلا ةسلج يف رصم تحرتق |	اهمضل ةعماجلا نع ندرالا لصف ةيبرعلا ةعماجلا ةسلج يف رصم تحرتق
ءاسؤرلا ءالؤه ناو ،ينامثعلا دهعلا یلا دوعي يسايس خيرات تاذ ةر |	ءاسؤرلا ءالؤه ناو ،ينامثعلا دهعلا ىلا دوعي يسايس خيرات تاذ ةر
ىأر نم لواو . رطفلا روذبو ةريمخلا ايالخ اوأرو ةملاسملاو ةراضل |	ىأر نم لواو . رطفلا روذبو ةريخملا ايالخ اوأرو ةملاسملاو ةراضل
: ةيلاتلا ماكحالا نم ودبي امك ةيمكلا ثيح نم فيلستلا ديدحت :ً ا |	: ةيلاتلا ماكحالا نم ودبي امك ةيمكلا ثيح نم فيلستلا ديدحت : ًا
امنأكف ،لح ىلا لوصولل القتسم اقالخ ًادهج نيئجاللا ةيضق ءاليا ى |	امناكف ،لح ىلا لوصولل القتسم اقالخ ًادهج نيئجاللا ةيضق ءاليا ى
قح يف الإ روصتي ال ةحاسملا برق نألً اضأي لهج اذهو ،هيلإ تادوجو |	قح يف الإ روصتي ال ةحاسملا برق نأل ًاضأي لهج اذهو ،هيلإ تادوجو
هـيخأب لـيلخ لک الخو					      |	هيخاب ليلخ لك الخو
مجعم : اهنم ،ًابتك فنصو نوريثك طخلا هنع ذخأ . دادغب لهأ نم ،يس |	مجعم : اهنم ،أأبتك فنصو نوريثك طخلا هنع ذخأ . دادغب لهأ نم ،ي
ةسايسلل مت اذا هناف اذهلو . ةراسخب انايحا اهعيبو جراخلا ىلا م |	ةسايسلل مت اذا هناف اذهلو . ةراسخبانايحا اهعيبو جراخلا ىلا مه
ليواقألاو ،ةيحان نم رشلاب وأ ريخلاب لصتت ةملك نع ربعتوً المث ب |	ليواقألاو ،ةيحان نم رشلاب وأ ريخلاب لصتت ةملك نع ربعتو ً الثم 
يساسالا ماظنلا اذـه يف اهيلع صوصنملا هتايحالص كلملا ةسراممل ة |	يساسألا ماظنلا اذه يف اهيلع صوصنملا هتايحالص كلملا ةسراممل ةم
١٩٦٤ ،توريب - نیيالملل ملعلا راد : رشن			      |	١٩٦٤ ،توريب - نييالملل ملعلا راد : رشن
دالب ىلا يهتنت یتح رهشا ةثالث ریستف رحبلا بكرت ةنيدملا هذه نم |	دالب ىلا يهتنت ىتح رهشا ةثالث ريستف رحبلا بكرت ةنيدملا هذه نم
هرايتخا نا امك ،رصع نود رصع ىلع وا ،دلب نود دلب ىلع ةداجالا ر |	هرايتخا نا امک ،رصع نود رصع ىلع وا ،دلب نود دلب ىلع ةداجالا ر
يبرـعلايملـعلا ركـفلا روطت				      |	يرحلاهاعلاراهيلا روطت
. دالبلا						      |	. هالبلا
. نامع يف يناطيربلا لخدتلا دض ةدحتملا ممالا ىلا ًاجاجتحا ةيقير |	. نامع يف يناطيربلا لخدتلا دض ةدحتملا ممالا ىلاً اجاجتحا ةيقير
. ص ٢٩٩ . ١٩٥٨ ،ةيريمالا				      |	. ص ٢٩٩٦ . ١٩٥٨ ،ةيريمالا
. لخدلا ىوتسم طوبه متحتيف فيظوتلاو			      |	. لخدلا ىوتسم طوبه محتيف فيظوتلاو
نويع ناهرلا موي اهب تقلع اـهنا ال اـهقبس ةعاسب تفرع	      |	فنويع نامرلا موي اهب تقلع اهنا ال اهقبس ةعاسب تفرع
تضق ثيحب ينامورلا مالسلا بابشلا دهع يف ةيريشبتلا برحلا تطشن د |	تضق ثيحب ينام ورلا مالسلا بابشلا دهع يف ةيريشبتلا ب رحلا تطشن
يفو ريصملا ريرقت يف نيينادوسلا قحبً اديوط ًاناميا ةيرصملا ةموكح |	يف وريصملا ريرقت يف ئنيينادوسلا قحب ًاديطو ًاناميا ةيرصملا ةموك
هبولساو . حالصالا لجا نم ةقداص ةينطو ةبغرب هتجلاعم يف عوفدم ف |	هبولساو . حالصالا لجا نم ةقداص ةينطو ةبغرب هتحلاعم يف عوفدم ف
ليوحت قيرط نع ةرداصلا اـهتراجت عيونت ىلا ءاضعالا لودلا دمعت ن |	ليوحت قيرط نع ةرداصلا اهتراجت عيونت ىلا ءاضعالا لودلا دممت نأ
نانبل - توريب						      |	نابل - توزيج
هيلا بتک امدنع عوضوملا اذه يف هتالو دحا یلا يلع مامالا ةحيصن  |	هيلا بتک امدنع عوضوملا اذه يف هتالو دحا ىلا يلع مامالا ةحيصن 
لمحتتل ةيعيرشتلا سلاجملا هذه ةيوقت مويلا ةيطارقميدلا تابجاو م |	لمختتل ةيعيرشتلا سلاجملا هذه ةيوقت مويلا ةيطارقميدلا تابجاو م
تاريخلا هذه ىلع اولصحيل مهعسو يف اـم لك اولمعي نا مهبولق يف ا |	تاريخلا هذه ىلع اولصحيل مهعسو يف ام لك اوامعي نا مهبولق يف او
وا ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هل اـملاط كلذ س |	وا ةلادعلا ققحيل نكي مل ماظنکك وهو . سسالا هذه هل املاط كلذ س
١٩٢٦ العلا ةعبطم ،ةرهاقلا - قرشلا اهياً اعاود		      |	١٩٢٦ العلا ةعبطم ،ةرهاقلا - قرشلا اهيا ًاعادو
ررحم يتيام نم برقي ام ةيكريمالا دئارجلا ضعب ريرحت مسق يف تدها |	زرحم يتیام نم برقي ام ةيكريمالا دئارجلا ضعب ريرحت مسق يف تدها
حالص روتکدلاب اکیرما ةيجراخ ريزو نوسيشتا رتسملا عمتجا - ٥٠ -  |	حالص روتكدلاب اكيرما ةيجراخ ريزو نوسيشتا رتسملا عمتجا - ٥٠ - 
يف مكحلا نولوتي نوبختنملا ةنراوملا ةكراطب ناك امك . نييباهشلا |	يف مكحلا نولوتي نوبختنملا ةنراوملا ةكراطب ناك امك . نييباهشلا
خيرات يف نيسلجم يف وأ دحاو سلجم يف ًاعم امهل اهداهشإ ناك له ىر |	خيرات يف نيسلجم يف وأ دحاو سلجم يفًاعم امه اهداهشإ ناك له يردي
،رظتني ناك امم ريثكب لقا ةلفحلا ىلع لابقالا ناك ذا ،ةسوكعم ةج |	،رظتني ناک امم ريثكب لقا ةلفحلا ىلع لابقالا ناکذا ،ةسوكعم ةجي
،ةرهاقلا ... ةعيرشلا ماكحا يف ةعيشلا لئاسو باتکل عماجلا وهو ا |	،ةرهاقلا .. . ةعيرشلا ماكحا يف ةعيشلا لئاسو باتكل عماجلا وهو 
ًاحاحلإ دشا ليماسرلا ىلا ةجاحلا تحبصا نيئجاللا ليس قفدتبو . اه |	ًاحاحلا دشا ليهاسرلا ىلا ةجاحلا تحبصا نيئجاللا ليس قفدتبو . اه
ريبكلا جاتنالا نمضتي ينفلا ءامنالا نا ريغ . ةدحتملا تايالولاو |	ريبكلا جاتنالا نمضتي ينفلا ءامنالا نا ريغ . ةدحتملا تالايولاو
. ص ١٤٢							      |	. ص ١٤ ٢
يتلا طورشلا يف رئازجلاو اسنرف نيب نواعت مايق نوديري اوناک اذا |	يتلا طورشلا يف رئازجلاو اسنرف نيب نواعت مايق نوديري اوناك اذا
نا بجي ةرضاـحلا دوهجلا فده نا ىلع ًاـعيمج فارطالا عم قافتا ىلا |	نا بجي ةرضاحلا دوهجلا فده نا ىلع ًاعيمج فارطالا عم قافتا ىلا ل
٢٥١٠٢ : نوفلت - ءارمحلا عراش				      |	٢٠١ ٢: نوفلت - ءارمحلا عراش
ةيلهالا ةسسؤملا ،توريب - یرخا صصقو قرع			      |	ةيلهالا ةسسؤملا ،توريب- ىرخا صصقو قرع
ةغللا لخدت يتلا ةديدجلا يناعملا نا ظحالن ةيناث ةهج نمو	      |	ةغلا لخدت يتلا ةديدجلا يناعملا نا ظحالن ةيناث ةهج نمو
. فزوج ،لزیغم						      |	. فزوج ،لزيفغم
١٩٦٦ ناسین - ١٩٦٥ يناثلا نيرشت				      |	١٩٦٦ ناسين - ١٩٦٥ يناثلا نيرشت
اـهتاهاجتاو ليئارسا نع تامولعملاب ينغ وهو . ًانلع هلوقي نا يدو |	اهتاهاجتاو ليئارسا نع تامولعملاب ينغ وهو . ًانلع هلوقي نا يدوه
ةيبرعلا كلامملا ىلع اولوتساو ،يبرعلا ناطلسلا ضارقنا دعب ًاريخا |	ةيبرعلا كلامملا ىلع اولوتساو ،يبرعلا ناطلسلا ضارقنا دعبً اريخا
لامکلا ةروص ةـنمآ ةديسلا يف اوأر موق انل هفلخ ام يه راثآلا كل |	لامكلا ةروص ةنمآ ةديسلا يف اوأر موق انل هفلخ ام يه راثآلا كلت
ىلا طيحملا نم قيرط وه اهنم عاعش لكو . قرطلا ىلا زمرتف هعشالا  |	ىلا طيحملا نم قيرط وه اهنم عاعش لکكو . قرطلا ىلا زمرتف هعشالا
ثارتلا ءايحإ راد ،توريب ،نيفلؤملا مجعم ،ةلاحك اضر رمع رظنا .  |	ثارتلا ءايحإ راد ،توريب ،نيفلؤملا مجعم ،ةلاحك اضر رمع رظنا . 
تاعورشملاا هذه ذيفنت متي فيك . . وه لاجملا اذه يف هتراثا نم د |	تاعورشملا هذه ذيفنت متي فيك . . وه لاجملا اذه يف هتراثا نم دب
ةيبروالاو ةيبرعلا لودلا ريتاسد ىلع تعلطا ةيعمجلل ةعباتلا ةفلت |	ةيبروالاو ةيبرعلا لودلا ريتاسد ىلع تملطا ةيممجلل ةعباتلا ةفلت
اـهيمسي ةيبرتلا نم ًاعون يسابعلا رصعلا يف كانه نا ىري اًلثم يتح |	اهيمسي ةيبرتلا نمً اعو يسابعلا رصعلا يف كانه نا ىري اًلثم يتح ر
هيلع تناك امب ١٩٤٧ ةنس ةعانصلا لقح يف يرصملا لماعلا ةيجاتنا ت |	هيلع تناك امم ١٩٤٧ ةنس ةعانصلا لقح يف يرصملا لماعلا ةيجاتنا ت
. ١ ج . ١٩٦٤ ،ةايحلا ةبتكم راد ،توريب . وده ديجم ديمح هيلع قل |	. ١ج . ١٩٦٤ ،ةايحلا ةبتكم راد ،توريب . وده ديجم ديمح هيلع قلع
دعب ىلع تنكسو تارفلا ةدلولا ةريشع تويب نم تائم تزاتجا ١٨٦٠ ةت |	دعب ىلع تنكکسو تارفلا ةدلولا ةريشع تويب نم تائم تزاتجا ١٨٦٠ ة
بولسال ًارظن اھتعجارم نـم ءيراقلا لـمي الو زاجياب ةيخيراتلا ثد |	بولسالً ارظن اهتعجارم نم ءىراقلا ل ممي الو زاجياب ةيخيراتلا ثد
ىوقا نوكي ةساردلا ىلع لاـبقالا ناب قثاو يننا . ةرضاحلا انلکاش |	ىوقا نوکي ةساردلا ىلع لابقالا ناب قثاو يننا . ةرضاحلا انلكاشم
. هيف مهكامسأ نوعيبي رخآ عضوم ىلا نورجهيو كامسألا	      |	. هيف مهکامسأ نوعيبي رخآ عضوم ىلا نورجهيو كامسألا
وكسوم يف ةدحتملا ةيبرعلا ةيروهمجلا ةرافس نع ردص نايب يف ملاس  |	وكسوميف ةدحتملا ةيبرعلا ةيروهجلا ةرافس نع ردص نايبيف ملاس حال
نم ةـيا . دراوملا نم ددع ربکا ىلع رطيست يھف ،يعامتجالا لمعلا  |	نم ةيا . دراوملا نم ددع ربکا ىلع رطيست يهف ،يعامتجالا لمعلا ي
زوجي ال ذا ،اهدادعت رركي الا يهيدبلا نمو . ناكدلا بحاصو زابخل |	زوجي ال ذا ،اهدادعت رركياألا يهيدبلا نمو . ناكدلا بحاصو زابخل
ال نيذلا ليجانالاو ةاروتلا ءاملع ددع نوكي نا ىشخاو . ةىيخيرات |	ال نيذلا ليجانالاو ةاروتلا ءاملع ددع نوكي نا ىشخاو . ةيخيراتل
راطخا ءردو نزخلاو فيرصتلاو يرلا عيراشم نع ًادج ةرصتخمب ةرظن هذ |	راطخا ءردو نزخلاو فيرصتلاو يرلا عيراشم نع ًادج ةرصتخم ةرظن هذه
ضعب ىلع نيـعلطم اوناک مهف . ةدـماج مأ ةيح تناك اذا امع نييعت  |	ضعب ىلع نيعلطم اوناك مهف . ةدماج مأ ةيح تناك اذا امع نييعت وأ
وھي رما ناک اذهف . تاناويحلا عيمجو مهنم عضرلا ىتح لافطالاو خو |	وهي رما ناک اذهف . تاناويحلا عیيمجو مهنم عضولا ىتح لافطالاو خ
لك لمحي ،اـهسفن ةيرقلا لها نم رثكا وا دحاو صخشل ةيرقلا ماـمز  |	لك لمحي ،اهسنفن ةيرقلا لها نم رثكا وا دحاو صخشل ةيرقلا مابمز 
. مهلكاشملو ةيعامتجالا ةمدخلا لقح يف لامعلل اهسفن سركتو	      |	. مهلكاشملو ةيعامتجالا ةمدخلا لقح يف لايعلل اهسفن سركتو
اذـه يعدتسيو ،دارفالا بيردت هتاقيبطتو هتيمنت يف ملعلا بلطتي : |	اذنه نعدتسيو ،دارفالا بيردت هتاقيبطتو هتيمنت يف ملعلا بلطتي :
. ميهاربا ،هدبع						      |	. ميهاربا ،هدع
. ص ٦٣ . ١٩٦٥						      |	. ص ٦٣ .. ١٩٦٥
ليجلا يف ةركاب ةيلمع يه ةبورعلا ءاحنا عـيمج ىلع تادرفملا ةمئا |	ليجلا يف ةركاب ةيلمع يه ةيورعلا ءاحنا عيمج ىلع تادرفملا ةمئاق
يقالخا فقوم كلذ بحاصي نا ىلع ،ةظحللا هذه خیرات هيف امب - هلک  |	يقالخا فقوم كلذ بحاصي نا ىلع ،ةظحللا هذه خيرات هيف امب - هلك 
،ةيبرعلا راطقالا سرادم يفً اضاي سرديو اسنرفو ارتلكناو ايناملا  |	،ةيبرعلا راطقالا سرادم يف ًاضاا سرديو اسنرفو ارتلكکناو ايناملا
ينبجعي : باوصلاو ينبجعي ١٦ س ١٩ ص			      |	ينيجعي : باوصل/اوو ينبجي ١٦ س ١٩ ص
ةياصو ذيبحت ىلع دقعنم ماعلا يأرلا عامجا نا ،تدجو امف ،ةنجللا  |	ةياصو ذيبحت ىلع دقعنم ماعلا يأرلا عامجا نا ،تدجو اميف ،ةنجللا
. اهلک تارفلا ةظفاحم تحاتجا يتلا سوفيتلا		      |	. اهلك تارفلا ةظفاحم تحاتجا يتلا سوفيتلا
ًاقح ةلهؤملا ،ةحيحصلا رصانعلا ديدجلا ليجلل ءيهن نا اندراو ،ًاضي |	ًاح ةلهؤملا ،ةحيحصلا رصانعلا ديدجلا ليجلل ءيهن نا اندراو ،ً اضي
ناک ناف . ملسوهيلعهللاىلص هللا لوسر رابخا ىلا عوجرلاب وا يحوب |	ناك ناف . يامل هللا لوسر رابخا ىلا عوجرلاب وا يحوب وا هرظنو
یرن اذه یلعو . عماوجلا ءابطخ هغلو تالاهتبالاو تاولصلا ةغلو    |	ىرن اذه ىلعو . عماوجلا ءابطخ هغلو تالاهتبالاو تاولصلا ةغلو
. فـسوـي نـب نسحلا نيدلا لامج ،يلحلا رهطملا نبا		      |	. كتكسوي نبب نسحلا نيدلا لامج ،يلحلا رهطملا نبا
نيبو ٣٨ ضرعلا طخو طسوتملا ضيبالا رحبلا نيب ةيبرغلا ءارحصلا ىف |	نيبو ٢٨ ضرعلا طخو طسوتملا ضيبالا رحبلا نيب ةيبرغلا ءارحصلا ىف
ركف باحصا ونوكي مل مهسفنا كارتالا نال كلذ . يبرعلا ركفلا يف ر |	ركف باحصا ونوكيهل مهسفنا كارتالا نال كلذ . يبرعلا ركفلا يف رث
اولحف ةئيسلا لاحلا كلتب انودجوف انيلا موقلا لبقاف انتلمحي انح |	اولحف ةئيسلا لاحلا كلتب انودجوف انيلا موقلا لبقاف انتلمجب انح
ةيلاطياو ةيفالسغويو ةينانوي نيئجال براضم مكافخي ال امك تماق د |	ةيلاطياو ةيفالسغويو ةينانوي نينجال براضم حافخي ال اك تماق دقف
ريـنلا تحت تعقو يتلا نادلبلا هذه يف راج وه امب ربتعي ال نمو . |	رينلا تحت تعقو يتلا نادلبلا هذه يف رراج وه امب ربتعي ال نمو .
. ةنجلا هللا لسي وهو رحب ... - ٣			      |	. ةنجلا هللا لسي وهو رحب . . . - ٣
هيدلاولاو يثراهلا حابر نب - ٢				      |	هيدلاولاو ين راهلا حابر نب - ٢
اـهنكلو ! قيش لهس سرد نم هل اي ! ةينفلا هنازيمو يلهاجلا رعشلا |	اهنكلو ! قيش لهس سرد نم هل اي ! ةينفلا هتازيمو ىلهاجلا رعشلا 
نطاوملا ىتح همعدي مل اذا ًاقالطا حالصإلا اذـه يرجي ال دقو . سا |	نطاوملا ىتح همعدي مل اذا ً اقالط حالصإلا اذه يرجي ال دقو . سان
. رمالا اذهب ةينعملا نادلبلا عميج ةراشتسا كلذ ولتي نا يغبني ه |	.رمالا اذهب ةينعملا نادلبلا عيمج ةراشتسا كلذ ولتي نا يغبني هن
نوكي ناسنا يال الو انل نكمي ال هنا اهل انحرص ،عورشملا اذه ساس |	نوكي ناسنا يال الو انل نكمي ال هنا اهل انح رص ،عورشملا اذه سا
ةرثكو ناطلسلا يف هتدم لوطلً ارنظ ،هرصاع كلم يأ هربخي مل امك وم |	ةرثكو ناطليلا يف هتدم لوطلً ارظن ،هرصاع كلم يأ هربخي مل امكومح
قيدصتلل داحتالا سجملا ىلع عضي يذلا يونسلا جمانربلاو داحتالا س |	قيدصتلل داحتالا سلجملا ىلع عضي يذلا يونسلا جمانربلاو داحتالا 
١٩٢٢ ،ةرهاقلا - كرتلا دنع برعلا ةنوعرف			      |	١٩٢٢ ،ةرهاقلا - ثاتلا دنع برعلا ةنوعرف
. ٢٣ - ٢٢ و						      |	. ٢٣ - ٢٢و
يأر بسح لـعفلاب تارارقلا ذختتف ،اياضقلا فلتخم لوح مهتاوصاب او |	يأر بسح لهعفلاب تارارقلا ذختتف ،اياضقلا فلتخم لوح مهتاوصاب او
براجت هيلا تهتنا امبسح فيرلا ةمدخل نيئيهمو ادادعا نيدعم اصاخش |	براجت هيلا تهتنا ابسح فيرلا ةمدخل نيئيهمو ادادعا نيدعم اصاخشا
عئاقولا لسلستو ثدحلا ىلع دمتعت يتلا ةيمحلملا لامعألا يف هدهشن |	عئاقولا لسلستو ثدحلا ىلع دمتعت يتلا ةيمحلملا لامعألا يف هدهشن
٣١١ : روثنملاو موظنملا . ٣٥٢ .				      |	. ٣١١ : روثنملاو موظنملا . ٣٥٢
. ديمحلا دبع ،ليدنق					      |	. ديمحلا دبع ،ليدنقت
يسيئرلا اهدصقم نال ،ةقيدص ًابوعش ناينبلا اذه اهنم نوكتي يتلا ب |	يسيئرلا اهدصقم نال ،ةقيدصً ابوعش ناينبلا اذه اهنم نوكتي يتلا ب
